period,member_casual,total_rides,avg_ride_length
2023-12-01T00:00:00Z,casual,48619,15.44
2023-12-01T00:00:00Z,member,159015,11.55
2024-01-01T00:00:00Z,casual,22676,14.56
2024-01-01T00:00:00Z,member,109293,12.27
2024-02-01T00:00:00Z,casual,44615,18.96
2024-02-01T00:00:00Z,member,163727,12.47
2024-03-01T00:00:00Z,casual,78003,20.57
2024-03-01T00:00:00Z,member,202753,11.97
2024-04-01T00:00:00Z,casual,124089,22.63
2024-04-01T00:00:00Z,member,262466,12.61
2024-05-01T00:00:00Z,casual,217706,24.68
2024-05-01T00:00:00Z,member,353890,13.72
2024-06-01T00:00:00Z,casual,280504,24.22
2024-06-01T00:00:00Z,member,377874,14.19
2024-07-01T00:00:00Z,casual,299285,24.73
2024-07-01T00:00:00Z,member,395437,14.16
2024-08-01T00:00:00Z,casual,297071,23.24
2024-08-01T00:00:00Z,member,402655,13.84
2024-09-01T00:00:00Z,casual,318871,20.09
2024-09-01T00:00:00Z,member,432047,12.89
2024-10-01T00:00:00Z,casual,201496,21.02
2024-10-01T00:00:00Z,member,363691,12.63
2024-11-01T00:00:00Z,casual,85595,17.19
2024-11-01T00:00:00Z,member,216797,11.8
2024-12-01T00:00:00Z,casual,34810,14.68
2024-12-01T00:00:00Z,member,124071,11.52
2025-01-01T00:00:00Z,casual,21463,12.83
2025-01-01T00:00:00Z,member,100054,10.92
