ride_length_bin,member_casual,count
"[0,5)",casual,199107
"[0,5)",member,598721
"[5,10)",casual,576883
"[5,10)",member,1328323
"[10,15)",casual,393540
"[10,15)",member,742273
"[15,20)",casual,241605
"[15,20)",member,387037
"[20,25)",casual,156051
"[20,25)",member,215223
"[25,30)",casual,103151
"[25,30)",member,124875
"[30,35)",casual,70291
"[30,35)",member,76208
"[35,40)",casual,50693
"[35,40)",member,49361
"[40,45)",casual,37472
"[40,45)",member,31642
"[45,50)",casual,29576
"[45,50)",member,17005
"[50,55)",casual,22971
"[50,55)",member,9660
"[55,60)",casual,18316
"[55,60)",member,6290
"[60,65)",casual,14978
"[60,65)",member,4039
"[65,70)",casual,12215
"[65,70)",member,2854
"[70,75)",casual,10054
"[70,75)",member,2095
"[75,80)",casual,8573
"[75,80)",member,1623
"[80,85)",casual,6888
"[80,85)",member,1253
"[85,90]",casual,6292
"[85,90]",member,1042
